# Tetrahedron method
        7.5049338675        0.1252321887        0.1252122041        0.0073126420        0.0073191313
        7.6294143197        0.1373686699        0.1373608181        0.0091608259        0.0091625263
        7.7538947720        0.1464917109        0.1464912516        0.0095724048        0.0095702460
        7.8783752242        0.1625531857        0.1625838975        0.0101034942        0.0101028153
        8.0028556765        0.1790724762        0.1790925890        0.0104175044        0.0104186256
        8.1273361287        0.2051666821        0.2031233467        0.0108978428        0.0108831690
        8.2518165810        0.2768978376        0.2654768452        0.0125614604        0.0124714656
        8.3762970333        0.3072112658        0.3031126567        0.0127134444        0.0126835678
        8.5007774855        0.3394184992        0.3407840082        0.0125626766        0.0125756606
        8.6252579378        0.4055096270        0.4106567285        0.0128746610        0.0129118787
        8.7497383900        0.7557551820        0.7615439928        0.0159524904        0.0159996140
        8.8742188423        0.8027466149        0.8079223267        0.0129923125        0.0130318695
        8.9986992946        0.7208347919        0.7239589586        0.0101267414        0.0101506660
        9.1231797468        0.6674089130        0.6691681996        0.0082716566        0.0082870430
        9.2476601991        0.6030110585        0.6018845461        0.0064854337        0.0064685502
        9.3721406513        0.4137339977        0.4135065488        0.0041955038        0.0042035374
        9.4966211036        0.2470018828        0.2475298865        0.0024564620        0.0024691810
        9.6211015559        0.1042438950        0.1039973224        0.0008456986        0.0008375972
        9.7455820081        0.0000000000        0.0000000000        0.0000000000        0.0000000000
        9.8700624604        0.0000000000        0.0000000000        0.0000000000        0.0000000000
        9.9945429126        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       10.1190233649        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       10.2435038171        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       10.3679842694        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       10.4924647217        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       10.6169451739        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       10.7414256262        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       10.8659060784        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       10.9903865307        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       11.1148669830        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       11.2393474352        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       11.3638278875        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       11.4883083397        0.0000000000        0.0000000000        0.0000000000        0.0000000000
